bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Ubi kayu mentah	-	Glikosida Sianogenik (Linamarin)	Keracunan sianida, kejang, kelumpuhan (Konzo), neuropati tropis	error	FDA; WHO; NCBI Cassava roots	Ubi kayu mengandung glikosida sianogenik yang melepaskan sianida saat dikunyah atau dipotong. Perebusan dan perendaman dapat mengurangi kadar sianida secara signifikan.
Jengkol	-	Asam Jengkolat (Djenkolic acid)	Nyeri perut hebat, hematuria, retensi urin, gagal ginjal akut, dalam kasus berat bisa fatal	error	PMC Djenkolism case reports; NCATS	Asam jengkolat mengendap menjadi kristal di saluran kemih menyebabkan obstruksi. Gejala muncul 2-12 jam setelah konsumsi. 4 dari 96 kasus dilaporkan meninggal akibat gagal ginjal.
Bayam (disimpan lama/dipanaskan ulang)	-	Nitrat (diubah menjadi Nitrit)	Sakit kepala, pusing, sesak napas, methemoglobinemia	error	WHO; FDA	Nitrat dalam bayam dapat diubah menjadi nitrit oleh bakteri, terutama saat bayam disimpan lama atau dipanaskan ulang. Nitrit mengikat hemoglobin dan mengurangi oksigen dalam darah.
Mentega kacang Brazil	-	Radioaktif (Radium)	Keracunan radiasi kronis (akumulasi)	warning	CDC; WHO	Biji kacang Brazil mengandung kadar radium yang relatif tinggi dibanding makanan lain karena akumulasi dari tanah. Konsumsi moderat aman, tetapi konsumsi berlebihan dalam jangka panjang berisiko.
Lychee mentah (perut kosong)	-	Hypoglycin A + MCPG	Ensefalopati hipoglikemik, kejang, kesadaran menurun, kematian	error	CDC Natural Toxins; Journal of Agric. Food Chem.	Konsumsi lychee mentah dalam jumlah besar saat perut kosong dapat menyebabkan ensefalopati hipoglikemik, terutama pada anak-anak.
Kacang lima mentah	-	Glikosida Sianogenik (Linamarin)	Keracunan sianida, mual, pusing	error	NCBI Cyanide profile; WHO	Kacang lima mengandung glikosida sianogenik. Memasak dengan benar menghilangkan toksin.
Ginkgo nuts (berlebihan)	-	4'-Methoxypyridoxine (4'MPN)	Kejang, kesadaran menurun, dalam kasus berat bisa fatal	error	CFS Hong Kong Natural Toxins	Biji ginkgo mengandung 4'MPN yang menghambat vitamin B6. Konsumsi >10 biji mentah bisa menyebabkan keracunan.
Tepung singkong (tidak diolah benar)	-	Glikosida Sianogenik	Keracunan sianida, kelumpuhan	error	WHO; FAO	Tepung singkong yang tidak difermentasi atau diolah dengan benar masih mengandung kadar sianida tinggi.
Bawang merah + madu	-	Senyawa reaktif	Mual, gangguan pencernaan, potensi toksisitas	warning	Tradisional; empirical	Dalam pengobatan tradisional, kombinasi ini dianggap berpotensi menghasilkan senyawa yang mengiritasi lambung.
Seafood + Vitamin C tinggi (jeruk)	-	Reaksi arsenik (transformasi arsenobetaine ke arsenik anorganik)	Mual, kram perut, diare, dalam teori reaksi arsenik	error	Frontiers in Nutrition 2023; FDA Arsenic in Food	Seafood mengandung senyawa arsenik organik (arsenobetaine). Vitamin C dalam dosis tinggi dapat memicu reduksi arsenik organik ke anorganik yang lebih toksik. Penelitian menunjukkan transformasi arsenik terjadi selama pencernaan.
Durian + Alkohol	-	Senyawa sulfur + asetaldehida	Wajah merah, jantung berdebar, mual, muntah, hepatotoksisitas	error	PMC Warfarin-Durian study; MedPark Hospital	Durian mengandung senyawa sulfur tinggi yang menghambat enzim aldehyde dehydrogenase (ALDH), menghalangi metabolisme alkohol. Akumulasi asetaldehida menyebabkan reaksi mirip disulfiram-alkohol.
Madu + air panas mendidih	-	Hydroxymethylfurfural (HMF)	Mual, potensi toksisitas gastrointestinal, dalam jangka panjang berpotensi karsinogenik	warning	EFSA HMF Opinion; ScienceDirect; PubChem	Pemanasan madu di atas 60°C meningkatkan kadar HMF secara signifikan. HMF digunakan sebagai penanda madu yang dipanaskan berlebihan. Batas aman 40-80 mg/kg.
Susu + buah asam	-	Presipitasi protein	Gangguan pencernaan, kembung, mual	warning	Traditional food science; empirical	Buah asam (jeruk, tomat) menyebabkan presipitasi protein susu di lambung, menghambat pencernaan dan dapat menyebabkan gangguan pencernaan.
Pisang + ubi jalar	-	Kalium berlebihan + fermentasi pati	Kembung, gangguan pencernaan, hiperkalemia pada individu rentan	warning	Nutritional science; empirical	Kedua makanan tinggi kalium dan pati. Kombinasinya dapat membebani pencernaan dan meningkatkan kadar kalium secara berlebihan.
Durian + kafein	-	Senyawa sulfur + kafein	Jantung berdebar, tekanan darah tinggi, gangguan pencernaan	warning	MedPark Hospital; TropicalFruitsy	Senyawa sulfur dalam durian dapat mengganggu metabolisme kafein, memicu palpitasi dan peningkatan tekanan darah.
Durian + seafood	-	Senyawa sulfur + protein tinggi	Alergi, gangguan pencernaan, potensi toksisitas	warning	TropicalFruitsy; MedPark Hospital	Senyawa sulfur durian dapat mengganggu metabolisme protein seafood. Beberapa amino acid dalam seafood bereaksi dengan senyawa durian.
Boraks (pada tahu, mie, kerupuk)	-	Natrium tetraborat	Mual, muntah, diare, keracunan akut, gangguan ginjal dan hati	error	BPOM Indonesia; WHO	Boraks dilarang keras sebagai bahan tambahan pangan oleh BPOM. Sering disalahgunakan untuk membuat tekstur makanan lebih kenyal dan awet.
Formalin (pada ikan asin, tahu)	-	Formaldehida	Iritasi saluran pencernaan, karsinogenik, kerusakan organ	error	BPOM Indonesia; IARC	Formalin adalah bahan pengawet industri yang dilarang digunakan dalam pangan. IARC mengklasifikasikan formaldehida sebagai karsinogen Kelompok 1.
Rhodamin B (pada kerupuk, minuman)	-	Rhodamin B (pewarna tekstil)	Iritasi saluran pencernaan, hepatotoksisitas, potensi karsinogenik	error	BPOM Indonesia	Rhodamin B adalah pewarna tekstil yang dilarang digunakan dalam makanan. Sering ditemukan pada jajanan berwarna mencolok.
Kuning metanil (pada makanan)	-	Metanil yellow (pewarna tekstil)	Iritasi saluran pencernaan, hepatotoksisitas, potensi karsinogenik, neurotoksisitas	error	BPOM Indonesia; FSSAI India	Kuning metanil adalah pewarna tekstil yang dilarang dalam pangan. Sering disalahgunakan untuk mewarnai kunyit, kue, dan jajanan pasar.
Aflatoxin + Deoxynivalenol + Zearalenone (pada biji-bijian/sorgum)	-	Aflatoxin B1 + DON + ZEA	Hepatotoksisitas, nefrotoksisitas, imunosupresi, karsinogenik, gangguan reproduksi	error	PMC Sorghum mycotoxin surveillance; EFSA	Ko-terpapar beberapa mikotoksin dalam biji-bijian (terutama sorgum dan jagung) memiliki efek aditif. Aflatoxin B1 adalah karsinogen Golongan 1 IARC. ZEA bersifat estrogenik.
Aflatoxin + Fumonisin (pada jagung/sorgum)	-	Aflatoxin B1 + Fumonisin B1	Hepatotoksisitas, nefrotoksisitas, karsinogenik, gangguan pertumbuhan anak	error	PMC Cereal mycotoxins; EFSA	Kombinasi aflatoxin dan fumonisin sering ditemukan pada jagung dan sorgum. Paparan kronis dapat mengganggu pertumbuhan anak melalui kerusakan usus dan malabsorpsi nutrisi.
Ochratoxin A (pada biji-bijian, kopi)	-	Ochratoxin A (OTA)	Nefrotoksisitas, hepatotoksisitas, potensi karsinogenik	error	EFSA; PMC Cereal mycotoxins	OTA diproduksi oleh Aspergillus ochraceus dan Penicillium verrucosum. Mengkontaminasi biji-bijian, kopi, dan anggur.
Patulin (pada sari apel)	-	Patulin	Mual, muntah, gangguan gastrointestinal, imunotoksisitas	error	EFSA; Codex GSFA	Patulin adalah mikotoksin yang diproduksi oleh Penicillium dan Aspergillus pada buah-buahan, terutama apel. Batas Codex: 50 µg/L untuk sari apel.
Madu + santan/kelapa	-	Kompatibilitas rasa buruk	Rasa tidak enak, potensi gangguan pencernaan ringan	warning	Traditional Indonesian food pairing	Kombinasi ini menghasilkan rasa yang sangat tidak harmonis dan dapat menyebabkan ketidaknyamanan pencernaan.
Madu + cabai/pedas	-	Irritasi mukosa ganda	Gangguan pencernaan, iritasi lambung	warning	Traditional Indonesian food pairing	Kombinasi madu (asam lemah) dengan cabai (capsaicin) berpotensi mengiritasi mukosa lambung secara berlebihan.
Madu + terasi/petis	-	Konflik rasa dan fermentasi	Rasa tidak enak, potensi gangguan pencernaan	warning	BimaSorgum CONFLICTING_PAIRS	Kombinasi rasa manis dengan fermentasi seafood sangat tidak harmonis dan dapat memicu mual.
Madu + cuka/asam	-	Reaksi asam-basa	Sakit perut, kembung	warning	BimaSorgum CONFLICTING_PAIRS	Kombinasi madu (basa lemah) dengan cuka (asam) dapat mengganggu keseimbangan pH lambung.
Durian + terasi/petis/ikan asin	-	Sulfur + amina tinggi	Kembung, gangguan pencernaan, mual	warning	BimaSorgum CONFLICTING_PAIRS	Durian sudah tinggi senyawa sulfur, kombinasi dengan makanan fermentasi tinggi amina meningkatkan beban metabolisme.
Cokelat + terasi/petis	-	Konflik rasa fermentasi	Rasa tidak enak, potensi mual	warning	BimaSorgum CONFLICTING_PAIRS	Kombinasi cokelat dengan bahan fermentasi seafood menghasilkan rasa yang sangat tidak harmonis.
Susu/keju + terasi/petis/ikan asin	-	Kasein + amina tinggi	Gangguan pencernaan, potensi reaksi alergi	warning	BimaSorgum CONFLICTING_PAIRS	Protein susu (kasein) dikombinasikan dengan amina tinggi dari fermentasi seafood dapat memicu gangguan pencernaan dan reaksi alergi.
Es krim + kecap/sambal/terasi	-	Konflik suhu + rasa	Gangguan pencernaan, kram perut	warning	BimaSorgum CONFLICTING_PAIRS	Perbedaan suhu ekstrem (es krim dingin) dengan bahan asin/pedas/fermentasi dapat menyebabkan kejutan termal pada sistem pencernaan.
Ricin (biji jarak)	-	Ricin	Mual, muntah, diare, dehidrasi, gagal organ, kematian	error	CDC; WHO	Biji jarak mengandung ricin, salah satu toksin alami paling berbahaya. Ricin dihancurkan oleh panas selama proses pembuatan minak jarak, tetapi biji mentah sangat beracun.
Sorghum berjamur	-	Trichothecene (DON, T-2 toxin)	Mual, muntah, diare, imunosupresi, perdarahan	error	PMC Sorghum mycotoxin; EFSA	Sorgum yang tersimpan buruk rentan terkontaminasi Fusarium yang menghasilkan trichothecene. DON (vomitoxin) menyebabkan penolakan pakan dan muntah.
Pestisida residu pada sayur/buah	-	Organofosfat, karbamat	Gangguan saraf, mual, muntah, kejang, dalam kasus berat kematian	error	WHO; EFSA; BPOM	Residu pestisida di atas batas aman pada produk pertanian merupakan kontaminan kimia berbahaya yang diawasi ketat oleh BPOM dan EFSA.
Lychee mentah (perut kosong)	-	Hypoglycin A + MCPG	Ensefalopati hipoglikemik, kejang, kesadaran menurun, kematian	error	CDC; Journal of Agric. Food Chem.	Konsumsi lychee mentah dalam jumlah besar saat perut kosong dapat menyebabkan ensefalopati hipoglikemik terutama pada anak-anak.
Kacang lima mentah	-	Glikosida Sianogenik (Linamarin)	Keracunan sianida, mual, pusing	error	NCBI; WHO	Kacang lima mengandung glikosida sianogenik. Memasak dengan benar menghilangkan toksin.
Ginkgo nuts (berlebihan)	-	4'-Methoxypyridoxine (4'MPN)	Kejang, kesadaran menurun, dalam kasus berat fatal	error	CFS Hong Kong Natural Toxins	Biji ginkgo mengandung 4'MPN yang menghambat vitamin B6. Konsumsi >10 biji mentah bisa menyebabkan keracunan.
Tepung singkong (tidak diolah benar)	-	Glikosida Sianogenik	Keracunan sianida, kelumpuhan	error	WHO; FAO	Tepung singkong yang tidak difermentasi atau diolah dengan benar masih mengandung kadar sianida tinggi.
Kacang Brazil (berlebihan)	-	Radium (akumulasi tanah)	Keracunan radiasi kronis	warning	CDC; WHO	Biji kacang Brazil mengandung kadar radium relatif tinggi. Konsumsi moderat aman, berlebihan berisiko.
Bawang merah + madu	-	Senyawa reaktif	Mual, gangguan pencernaan	warning	Tradisional; empirical	Dalam pengobatan tradisional, kombinasi ini dianggap berpotensi mengiritasi lambung.
Starfruit (bagi penderita ginjal)	-	Oxalic acid + caramboxin	Gagal ginjal akut, kejang, encefalopati	error	Nephrology Dialysis Transplantation	Starfruit sangat berbahaya bagi penderita penyakit ginjal kronis karena caramboxin tidak bisa disaring oleh ginjal yang rusak.
Raw sprouts (tauge)	-	E. coli, Salmonella	Kram perut, diare berdarah, gagal ginjal	error	FDA; CDC	Tauge mentah adalah sumber wabah E. coli dan Salmonella karena kondisi lembap dan hangat saat perkecambahan ideal untuk bakteri.
Sagu berjamur	-	Aflatoxin	Keracunan akut, karsinogenik	error	WHO; EFSA	Sagu yang disimpan lembap rentan terkontaminasi Aspergillus flavus yang menghasilkan aflatoxin.
Pala dosis tinggi (>5g)	-	Myristicin	Halusinasi, kantuk, pusing, kejang, gagal organ	error	Journal of Medical Toxicology; WebMD	Dosis 2 sendok teh pala sudah bisa menjadi toksik. >5g menyebabkan keracunan serius.
Bayam (disimpan lama/dipanaskan ulang)	-	Nitrat → Nitrit	Sakit kepala, sesak napas, methemoglobinemia	error	WHO; FDA	Nitrat dalam bayam dapat diubah menjadi nitrit oleh bakteri saat disimpan lama atau dipanaskan ulang.
Buah Ackee mentah	-	Hypoglycin A	Mual, muntah, koma, kematian	error	FDA; CDC	Hypoglycin A adalah toksin tahan panas pada kulit dan biji buah ackee. Reaksi ringan hingga fatal.
Grapefruit + statin (atorvastatin)	-	Furanocoumarin (CYP3A4 inhibition)	Rhabdomyolisis, nyeri otot parah, gagal ginjal	error	FDA; PubMed	Grapefruit menghambat enzim CYP3A4 yang memetabolisme statin, meningkatkan kadar obat dalam darah hingga 2-3x lipat.
Grapefruit + calcium channel blocker	-	Furanocoumarin	Hipotensi berat, jantung berdebar	error	FDA; Mayo Clinic	Grapefruit meningkatkan efek amlodipine/nifedipine secara berlebihan.
Grapefruit + cyclosporine	-	Furanocoumarin	Toksisitas ginjal, imunosupresi berlebihan	error	FDA	Grapefruit meningkatkan kadar cyclosporine secara toksik.
Warfarin + cranberry juice	-	Quercetin (CYP2C9 inhibition)	Perdarahan, INR meningkat	error	PubMed; FDA case reports	Cranberry menghambat metabolisme warfarin melalui CYP2C9, meningkatkan risiko perdarahan.
Warfarin + sayuran hijau tinggi vitamin K	-	Vitamin K (antagonis warfarin)	Efektivitas warfarin menurun, risiko trombosis	error	Mayo Clinic; FDA	Sayuran tinggi vitamin K (bayam, brokoli, kangkung) mengurangi efek antikoagulan warfarin.
MAO inhibitor + keju/aged food	-	Tyramine	Krisis hipertensi, sakit kepala parah, stroke	error	FDA; PubMed	Keju yang difermentasi, daging curing, dan makanan tinggi tyramine berbahaya dikombinasikan dengan inhibitor MAO.
MAO inhibitor + kedelai fermentasi (tempe/kecap)	-	Tyramine	Krisis hipertensi	error	PubMed; BPOM	Tempe, kecap, dan tauco mengandung tyramine tinggi akibat fermentasi.
Dairy + antibiotik tetracycline	-	Kalsium mengikat antibiotik	Efektivitas antibiotik menurun	error	FDA; WHO	Susu dan produk susu mengurangi penyerapan tetracycline hingga 50%.
Dairy + antibiotik ciprofloxacin	-	Kalsium mengikat antibiotik	Efektivitas antibiotik menurun	error	FDA	Susu menghambat absorpsi ciprofloxacin secara signifikan.
Teh/kopi + suplemen zat besi	-	Tanin mengikat zat besi	Anemia tidak membaik, penyerapan zat besi terhambat	error	PubMed; WHO	Tanin dalam teh dan kopi mengikat zat besi non-heme, mengurangi penyerapan hingga 60%.
Licorice + digoxin	-	Glycyrrhizin (hypokalemia)	Aritmia jantung, hipokalemia	error	FDA; PubMed	Licorice menyebabkan kehilangan kalium yang memperkuat efek toksik digoxin pada jantung.
Alkohol + acetaminophen (paracetamol)	-	NAPQI (metabolit hepatotoksik)	Gagal hati akut	error	FDA; WHO	Alkohol meningkatkan produksi NAPQI dari paracetamol, menyebabkan kerusakan hati parah.
Alkohol + metformin	-	Laktat asidosis	Mual, muntah, nyeri otot, gagal organ	error	FDA	Alkohol meningkatkan risiko laktat asidosis saat dikombinasikan dengan metformin.
Mercury pada ikan besar (tuna, swordfish)	-	Metilmercury	Kerusakan saraf, gangguan perkembangan janin	error	FDA; WHO	Ikan predator besar (tuna sirip kuning, todak, hiu) mengakumulasi metilmercury. FDA merekomendasikan max 2-3 porsi/minggu.
Cadmium pada beras	-	Cadmium	Nefrotoksisitas, osteomalacia (Itai-itai disease)	error	WHO; EFSA	Beras dari area terkontaminasi cadmium dapat mengandung kadar cadmium berbahaya.
Aflatoxin pada kacang tanah	-	Aflatoxin B1	Karsinogenik (hati), hepatotoksisitas	error	IARC Group 1; BPOM	Kacang tanah yang disimpan lembap rentan terkontaminasi Aspergillus flavus. BPOM menetapkan batas maks 15 µg/kg.
Aflatoxin pada jagung	-	Aflatoxin B1 + Fumonisin	Karsinogenik, gangguan pertumbuhan anak	error	EFSA; PMC	Jagung tropis sangat rentan terkontaminasi aflatoxin dan fumonisin secara bersamaan.
Aflatoxin M1 pada susu	-	Aflatoxin M1	Karsinogenik, hepatotoksisitas	error	EFSA; WHO	Aflatoxin M1 adalah metabolit aflatoxin B1 yang masuk ke susu hewan yang mengonsumsi pakan terkontaminasi.
Ochratoxin A pada kopi	-	Ochratoxin A (OTA)	Nefrotoksisitas, hepatotoksisitas, karsinogenik	error	EFSA; IARC	OTA mengontaminasi biji kopi yang disimpan buruk. Batas EU: 5 µg/kg untuk kopi panggang.
Patulin pada sari apel	-	Patulin	Gangguan gastrointestinal, imunotoksisitas	error	EFSA; Codex GSFA	Patulin diproduksi oleh Penicillium pada buah apel. Batas Codex: 50 µg/L untuk sari apel.
Ergot pada gandum/tepung	-	Ergotamine	Ergotism (gangren, kejang, halusinasi)	error	WHO; EFSA	Jamur Claviceps pada gandum dan rye menghasilkan ergotamine yang menyebabkan ergotism.
Lead pada kunyit (adulterasi)	-	Lead chromate	Keracunan timbal, gangguan saraf, ginjal	error	WHO; FDA	Kunyit yang dicampur lead chromate untuk warna kuning lebih cerah ditemukan di beberapa negara Asia.
Melamine pada susu	-	Melamine	Gagal ginjal, batu ginjal	error	FDA; WHO	Melamine ditambahkan ke susu untuk memalsukan kadar protein. Kasus besar di Tiongkok 2008.
Clenbuterol pada daging	-	Clenbuterol	Palpitasi, tremor, hipokalemia	error	FDA; BPOM	Clenbuterol digunakan ilegal sebagai growth promoter pada ternak. Residunya berbahaya bagi konsumen.
Nitrosamine pada daging olahan	-	Nitrosamine	Karsinogenik (perut, kolorektal)	error	IARC; WHO	Bacon, sosis, dan daging olahan mengandung nitrosamine yang terbentuk dari reaksi nitrit dengan amina.
Acrylamide pada makanan goreng	-	Acrylamide	Karsinogenik (IARC 2A)	error	EFSA; FDA	Acrylamide terbentuk pada makanan bertepung yang digoreng/dipanggang di atas 120°C (kentang goreng, kerupuk).
BPA dari kemasan plastik	-	Bisphenol A	Gangguan endokrin, reproduksi	error	EFSA; FDA	BPA dari kemasan plastik berpindah ke makanan terutama saat dipanaskan.
Residu organofosfat pada sayuran	-	Organofosfat	Gangguan saraf, mual, kejang	error	WHO; EFSA	Sayuran seperti bayam, kangkung, dan cabai sering terdeteksi mengandung residu pestisida organofosfat.
Glyphosate pada gandum/oats	-	Glyphosate	Gangguan hormonal, potensi karsinogenik	error	IARC 2A; EFSA	Glyphosate digunakan sebagai desiccant pada panen gandum dan oats. Kontroversi karsinogenik.
Aspartame (dosis tinggi)	-	Aspartame (phenylalanine)	Sakit kepala, potensi karsinogenik (IARC 2B)	error	IARC 2B (2023); FDA approved	Aspartame diklasifikasikan IARC sebagai possibly carcinogenic (2B). Berbahaya untuk penderita fenilketonuria.
MSG berlebihan (>3g/saji)	-	Monosodium glutamate	Chinese restaurant syndrome: sakit kepala, mual, flushing	error	FDA (acknowledged); WHO	MSG umumnya aman (GRAS) tetapi dosis tinggi dapat memicu gejala sensitivitas pada individu tertentu.
Sulfite pada buah kering	-	Sulfur dioxide (SO2)	Bronkospasm pada penderita asma, reaksi alergi	error	FDA; EFSA	Sulfite digunakan sebagai pengawet pada buah kering, anggur, dan makanan olahan.
Histamine pada ikan busuk	-	Histamine (scombroid)	Flushing, mual, diare, palpitasi	error	FDA; CDC	Ikan tuna, makerel, dan bonito yang tidak disimpan dingin menghasilkan histamine berlebih (keracunan scombroid).
Mikotoksin aflatoxin + DON + ZEA pada sorgum	-	Aflatoxin B1 + DON + ZEA	Hepatotoksisitas, imunosupresi, gangguan reproduksi	error	PMC Sorghum mycotoxin; EFSA	Ko-terpapar beberapa mikotoksin dalam sorgum memiliki efek aditif.
Aflatoxin + Fumonisin pada jagung	-	Aflatoxin B1 + Fumonisin B1	Hepatotoksisitas, karsinogenik, gangguan pertumbuhan	error	PMC; EFSA	Kombinasi paling sering ditemukan pada jagung tropis.
OTA + Aflatoxin pada biji-bijian	-	Ochratoxin A + Aflatoxin B1	Nefrotoksisitas + hepatotoksisitas simultan	error	EFSA; PMC	Kombinasi dua mikotoksin dengan target organ berbeda yang saling memperkuat.
DON + ZEA pada gandum	-	Deoxynivalenol + Zearalenone	Gangguan pencernaan + gangguan reproduksi (estrogenik)	error	EFSA; PMC	Fusarium menghasilkan kedua toksin ini bersamaan pada gandum dan jagung.
Fumonisin + Citrinin pada jagung	-	Fumonisin + Citrinin	Nefrotoksisitas + hepatotoksisitas	error	PMC Cereal mycotoxins	Kombinasi yang ditemukan pada jagung yang disimpan buruk.
Grapefruit + antihistamin (fexofenadine)	-	Naringin (P-gp inhibition)	Efektivitas obat menurun	error	FDA	Berbeda dengan kebanyakan interaksi, grapefruit justru mengurangi absorpsi fexofenadine.
Durian + kafein	-	Senyawa sulfur + kafein	Jantung berdebar, tekanan darah tinggi	warning	MedPark Hospital	Senyawa sulfur durian dapat mengganggu metabolisme kafein.
Durian + seafood	-	Senyawa sulfur + protein tinggi	Alergi, gangguan pencernaan	warning	TropicalFruitsy	Senyawa sulfur durian bereaksi dengan amino acid dalam seafood.
Madu + air panas mendidih	-	Hydroxymethylfurfural (HMF)	Nausea, potensi karsinogenik jangka panjang	warning	EFSA HMF Opinion; ScienceDirect	Pemanasan madu di atas 60°C meningkatkan kadar HMF. Batas aman 40-80 mg/kg.
Susu + buah asam	-	Presipitasi protein	Gangguan pencernaan, kembung, mual	warning	Traditional food science	Buah asam (jeruk, tomat) menyebabkan presipitasi protein susu di lambung.
Pisang + ubi jalar	-	Kalium berlebihan + fermentasi pati	Kembung, hiperkalemia pada individu rentan	warning	Nutritional science	Kedua makanan tinggi kalium dan pati.
Madu + santan/kelapa	-	Kompatibilitas rasa buruk	Rasa tidak enak, gangguan pencernaan ringan	warning	Traditional Indonesian food pairing	Kombinasi rasa sangat tidak harmonis.
Madu + cabai/pedas	-	Iritasi mukosa ganda	Gangguan pencernaan, iritasi lambung	warning	Traditional Indonesian food pairing	Kombinasi madu (asam lemah) dengan cabai (capsaicin) mengiritasi mukosa lambung.
Madu + terasi/petis	-	Konflik rasa fermentasi	Rasa tidak enak, potensi gangguan pencernaan	warning	BimaSorgum CONFLICTING_PAIRS	Rasa manis dengan fermentasi seafood sangat tidak harmonis.
Madu + cuka/asam	-	Reaksi asam-basa	Sakit perut, kembung	warning	BimaSorgum CONFLICTING_PAIRS	Kombinasi basa lemah dengan asam mengganggu pH lambung.
Durian + terasi/petis/ikan asin	-	Sulfur + amina tinggi	Kembung, gangguan pencernaan, mual	warning	BimaSorgum CONFLICTING_PAIRS	Durian tinggi sulfur, dikombinasikan dengan makanan fermentasi tinggi amina.
Cokelat + terasi/petis	-	Konflik rasa fermentasi	Rasa tidak enak, potensi mual	warning	BimaSorgum CONFLICTING_PAIRS	Cokelat dengan bahan fermentasi seafood sangat tidak harmonis.
Susu/keju + terasi/petis/ikan asin	-	Kasein + amina tinggi	Gangguan pencernaan, potensi reaksi alergi	warning	BimaSorgum CONFLICTING_PAIRS	Protein susu dengan amina tinggi dari fermentasi seafood.
Es krim + kecap/sambal/terasi	-	Konflik suhu + rasa	Gangguan pencernaan, kram perut	warning	BimaSorgum CONFLICTING_PAIRS	Suhu ekstrem dengan bahan asin/pedas/fermentasi menyebabkan kejutan termal.
Banana + milk (konsumsi rutin)	-	Kompatibilitas pencernaan	Ruam kulit, mual, diare, kelelahan (konsumsi rutin)	warning	BeautyTalk; Traditional	Dikonsumsi terpisah aman, tetapi kombinasi rutin dapat memicu gejala pencernaan.
Honey + soy milk	-	Asam format + protein	Soendal presipitasi, gangguan pencernaan	warning	BeautyTalk	Asam format dalam madu bereaksi dengan protein kedelai.
Eggs + soy milk	-	Avidin + tripsin inhibitor	Penyerapan biotin terhambat	warning	BeautyTalk; Nutritional science	Telur mentah mengandung avidin yang mengikat biotin. Kedelai mengandung tripsin inhibitor.
Tea + iron-rich foods	-	Tanin (tannin)	Penyerapan zat besi non-heme menurun	warning	PubMed; WHO	Tanin dalam teh mengikat zat besi non-heme dari sayuran dan kacang.
