nama_bahan	rasa_manis	rasa_asin	rasa_asam	rasa_pahit	rasa_umami	kategori_rasa	pasangan_cocok	pasangan_hindari	sumber
Jeruk nipis	0	0	3	0	0	asam, segar	ikan, udang, sambal, kecap	susu (curdling)	FlavorDB/culinary
Strawberry	3	0	2	0	0	manis asam	krim, cokelat, yogurt	terasi, ikan	FlavorDB/culinary
Jahe	0	0	0	1	1	pedas, aromatic	bawang, kunyit, madu, teh	tidak ada	FlavorDB/culinary
Kunyit	0	0	0	1	1	earthy, pahit	jahe, bawang, santan, kelapa	manis berat	FlavorDB/culinary
Lengkuas	0	0	0	1	1	aromatic, woody	jahe, kunyit, serai, santan	cokelat, kopi	FlavorDB/culinary
Serai	0	0	0	0	0	citrus, segar	jahe, kunyit, santan, kelapa	tidak ada	FlavorDB/culinary
Kemiri	1	0	0	1	1	nutty, creamy	bawang, cabai, kunyit	manis	FlavorDB/culinary
Ketumbar	0	0	0	1	0	earthy, citrus	jintan, kunyit, bawang	manis	FlavorDB/culinary
Jintan	0	0	0	1	0	warm, earthy	ketumbar, kunyit, merica	manis	FlavorDB/culinary
Merica	0	0	0	2	0	pedas, pahit	semua masakan gurih	manis berat	FlavorDB/culinary
Daun salam	0	0	0	0	1	aromatic, herbal	semua masakan berkuah	tidak ada	FlavorDB/culinary
Daun pandan	1	0	0	0	0	vanilla, floral	santan, gula, ketan	terasi, ikan	FlavorDB/culinary
Kecap manis	2	2	0	0	3	manis, umami, asin	semua masakan gurih	manis berat, buah	FlavorDB/culinary
Kecap asin	0	3	0	0	3	asin, umami	semua masakan gurih	manis berat, buah	FlavorDB/culinary
Saus sambal	0	2	1	0	1	pedas, asam, asin	gorengan, mie, nasi	manis, susu	FlavorDB/culinary
Saus tomat	1	1	1	0	1	asam, manis, asin	gorengan, pasta, daging	tidak ada	FlavorDB/culinary
Terasi udang	0	3	0	0	5	sangat umami, asin	bawang, cabai, jeruk nipis, nasi	susu, keju, manis, buah	FlavorDB/culinary
Petis udang	1	2	0	0	4	manis, umami, asin	gado-gado, rujak, sate	susu	FlavorDB/culinary
Tauco	0	2	0	0	3	asin, umami, fermented	bawang, cabai, sayuran	susu, buah	FlavorDB/culinary
Madu	4	0	0	0	0	sangat manis, floral	teh, roti, yogurt, ayam	terasi, ikan asin, cabai	FlavorDB/culinary
Gula pasir	4	0	0	0	0	manis murni	semua manisan, kue	terasi, ikan asin	FlavorDB/culinary
Gula kelapa	3	0	0	1	0	manis, karamel, earthy	kue tradisional, kopi	ikan, terasi	FlavorDB/culinary
Gula aren	3	0	0	1	0	manis, smoky, kopi	es, kue, kopi	ikan, terasi	FlavorDB/culinary
Minyak goreng	0	0	0	0	0	netral	semua gorengan	tidak ada	FlavorDB/culinary
Minyak kelapa	1	0	0	0	0	tropis, mild	kari, kue, gorengan	salad dressing	FlavorDB/culinary
Minyak zaitun	0	0	0	1	1	fruity, peppery	salad, pasta, roti	masakan Indonesia tradisional	FlavorDB/culinary
Minyak wijen	0	0	0	1	1	nutty, aromatic	mie, tumisan, marinasi	kue manis	FlavorDB/culinary
Susu sapi	1	0	0	0	1	manis, creamy	sereal, kopi, kue	terasi, ikan asin, cabai	FlavorDB/culinary
Keju cheddar	0	1	0	0	3	asin, umami, creamy	roti, pasta, burger	terasi, ikan asin	FlavorDB/culinary
Mentega	1	0	0	0	1	creamy, rich	roti, kue, masakan	terasi	FlavorDB/culinary
Yogurt	0	0	2	0	1	asam, creamy	buah, madu, granola	terasi, ikan asin	FlavorDB/culinary
Santan	1	0	0	0	1	creamy, tropis	kari, gulai, kue, es	terasi (dosis tinggi)	FlavorDB/culinary
Garam	0	5	0	0	0	sangat asin	semua masakan	manis murni	FlavorDB/culinary
Teh hijau	0	0	0	2	1	astringent, herbal	madu, lemon, snack ringan	terasi, ikan asin	FlavorDB/culinary
Kopi	0	0	0	3	1	pahit, roasty	gula, susu, cokelat	terasi, ikan asin	FlavorDB/culinary
Cuka	0	0	4	0	0	sangat asam	gula, kecap (untuk balance)	susu	FlavorDB/culinary
Asam jawa	0	0	3	0	1	asam, fruity	gula, cabai, garam (rujak)	susu	FlavorDB/culinary
Es batu	0	0	0	0	0	netral, dingin	semua minuman	tidak ada	FlavorDB/culinary
